respondent_id,question_id,question_text,header_level_1,header_level_2,answer_text
114242338760,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),Events at Moda Center
114242432434,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),Air port & Library
114242439963,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),Sporting Events
114242518092,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),To get to the Portland Airport
114242532624,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),airport
114243005843,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),To go places
114243266354,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),"viajes relacionados con mi trabajo (pero no ir al trabajo) visitas a asociados, etc."
114243466593,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),Sports events
114243652521,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),PDX Airport
114247399926,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),To get to airport
114248365242,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),Basketball
114249419329,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),To get to PDX
114249558385,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),Travel to/from PDX Airport
114251087632,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),to/from PDX
114252553645,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),Reuniones de la Escuela de mis hijos o talleres
114253635396,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),Timbers & Blazer games
114254550294,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),To/from airport
114255018487,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),Lunch
114256374145,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),Going into downtown Portland
114257360744,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),Airport transportation
114265917836,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),Airport
114266973089,6,What purposes do you use public transit? (check all that apply),NA,Other (please specify),various
114242367682,7,Why do you use public transit? (check all that apply),NA,Other (please specify),"to avoid drinking and driving, to save money on parking costs, to not have to worry about finding parking."
114242410994,7,Why do you use public transit? (check all that apply),NA,Other (please specify),it's fun to ride when you're not in a hurry
114242463371,7,Why do you use public transit? (check all that apply),NA,Other (please specify),I enjoy it
114242496531,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Parking is not easy or cheap at my destination
114242518092,7,Why do you use public transit? (check all that apply),NA,Other (please specify),To save having to park a car in downtown Portland; to get to the airport
114242532624,7,Why do you use public transit? (check all that apply),NA,Other (please specify),save on parking at desination
114242636263,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Night out
114242650167,7,Why do you use public transit? (check all that apply),NA,Other (please specify),I like to read
114242716030,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Too far for me to walk
114243198485,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Limited downtown Portland parking
114243466593,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Avoid restricted parking areas
114243566440,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Avoid paying parking.  Relaxing to park and ride.
114243652521,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Don't want to pay for airport parking
114244125803,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Avoid parking or socializing.
114244186556,7,Why do you use public transit? (check all that apply),NA,Other (please specify),"I don't like commuting by car. While it takes longer to arrive to work, public transit allows me to show up to work stress free."
114245210882,7,Why do you use public transit? (check all that apply),NA,Other (please specify),I don't like parking in Portland
114245234167,7,Why do you use public transit? (check all that apply),NA,Other (please specify),No free parking
114245271871,7,Why do you use public transit? (check all that apply),NA,Other (please specify),parking issues
114245330333,7,Why do you use public transit? (check all that apply),NA,Other (please specify),hate driving in Portland; risk of car vandalism while parked
114247464164,7,Why do you use public transit? (check all that apply),NA,Other (please specify),like to walk to station for exercise
114247571025,7,Why do you use public transit? (check all that apply),NA,Other (please specify),I like biking to to work and the gym and the max can make the journey easier/faster
114247591857,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Parking issues
114247603412,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Don’t want to pay for parking in downtown Portland
114248365242,7,Why do you use public transit? (check all that apply),NA,Other (please specify),one car household
114250144459,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Save on parking and avoid traffic
114250153973,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Por razones medicas
114250479497,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Working with special need students
114251087632,7,Why do you use public transit? (check all that apply),NA,Other (please specify),avoid and not contribute to traffic
114251982006,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Avoid sitting through traffic
114254040700,7,Why do you use public transit? (check all that apply),NA,Other (please specify),I work in Portland and parking is bad
114254536995,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Avoid parking
114254549092,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Cars ruin cities. Cars are the 2nd leading cause of death for children. Cars require terrible land use policies.
114256374145,7,Why do you use public transit? (check all that apply),NA,Other (please specify),"Driving is stressful, and biking/walking mixed with transit is good for my health"
114257360744,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Saves aggravation during rush hour traffic.
114258120481,7,Why do you use public transit? (check all that apply),NA,Other (please specify),"The convenience is on my employer's end, not my home end."
114258163202,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Less stress
114258601521,7,Why do you use public transit? (check all that apply),NA,Other (please specify),2 strokes and I no longer drive
114258618881,7,Why do you use public transit? (check all that apply),NA,Other (please specify),My kid loves the bus and Max trains
114259122221,7,Why do you use public transit? (check all that apply),NA,Other (please specify),"Avoids traffic, parking, etc."
114262870863,7,Why do you use public transit? (check all that apply),NA,Other (please specify),I have had my older teen son take public transport to Portland because I felt it was safer than the two of them driving (they don't have a ton of driving experience and there's a lot of traffic in downtown)
114263698884,7,Why do you use public transit? (check all that apply),NA,Other (please specify),My kids enjoy it and I would prefer to take it more often for environmental reasons
114263820595,7,Why do you use public transit? (check all that apply),NA,Other (please specify),The WES is more reliable than driving to/from Wilsonville
114264334211,7,Why do you use public transit? (check all that apply),NA,Other (please specify),It’s a fun experience for my toddler
114264979129,7,Why do you use public transit? (check all that apply),NA,Other (please specify),"While transit takes longer overall in terms of commute time, I don't like dealing with traffic on highway 26. At least on the MAX I can read a book or catch up on work."
114265201427,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Don't like driving
114265320049,7,Why do you use public transit? (check all that apply),NA,Other (please specify),"more control over self/independence from a soul-sucking vehicle, no parking hassle/no break-ins"
114265917836,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Airport parking is too expensive for longer trips
114266022619,7,Why do you use public transit? (check all that apply),NA,Other (please specify),To avoid parking in Portland
114266502840,7,Why do you use public transit? (check all that apply),NA,Other (please specify),I don’t like driving to Portland
114266620899,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Traffic is bad.
114266861135,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Im just not a fan.
114266973089,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Snow and ice make driving unsafe at times
114273581066,7,Why do you use public transit? (check all that apply),NA,Other (please specify),Inclement weather
114242432434,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),I live in rural hillsboro (219) and there's no way for me to connect to a bus. there are no rides for people with disabilities.
114242463371,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"I have personal issues with some aspects of transit, but none prevent me from using the bus/ max. I have learned to accommodate, but it takes hours more of my day"
114242500949,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Not Enough Dedicated Right Of Way
114242532624,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),need more parking at max stops
114242650167,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Mostly cause I can't take my dog on the bus
114242716030,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"While this is kind of related to safety, I've been avoiding transit since the pandemic since I got sick a lot when I took the bus or MAX before the pandemic."
114242741677,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),There's no MAX Blue line in Cornelius and Forest Grove.
114242948911,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Buses come so infrequently
114244030824,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),I will ride my bike as another option.
114244117495,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Lack of pedestrian infrastructure makes it dangerous to walk to the bus stop
114244131946,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),N/A
114244149942,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Cleanliness
114244576369,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),I use a power chair and many stops do not have appropriate sidewalks and landing pads for the bus to allow me to board or debark
114247571025,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"My work starts at 8:30. Westlink and the wave only have one morning bus that works for that time frame; so if I miss it I am screwed. My bike has 2.8in wide tires and will not fit in any bus bike racks, which limits my connecting modes to these transit options. This leads me to take the MAX and adds 30min to my trip"
114248365242,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),No transit close to me
114248481499,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Homeless using transit as shelters
114248641120,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),MAX trains are unsanitary and worn out inside.
114249020843,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),I carpool with my coworker when she works.
114250199912,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Connections take too long & lack of frequent lines
114250520152,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"It does take more coordination (schedule for work shuttle, which is not always convenient, walking time)"
114251323257,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"Difficult with young kids, especially with multiple destinations such as school and daycare."
114251982006,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),I drive an EV which is currently cheaper to charge weekly over paying transit fees twice per day even with discounts
114252553645,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"Aveces no me transporto con el Servicio Público porque las Paradas que están en el área de donde yo vivo no tiene casitas para que me protejan de las Inclemencias del Clima, me gustaría que Trimet trabajara en esto, Gracias 🙏🏻"
114254040700,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"The schedule is AWFUL. Running every 45min or less doesn't work. And then on way home, I take a bus that runs every 15min to them change at Beaverton transit center or Washington square mall, but have to wait at LEAST 30min for next bus!!!"
114254380446,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),need more frequent service on some lines.
114254406397,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Siento que no es seguro para mi bebe de 1 año
114254549092,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Not enough spaces for bikes. Need triple bike racks on buses. Need better options to stand with bikes on Max.
114256374145,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Headways are too long
114257360744,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"car centric community, Multiple errands close to home."
114258099605,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"Weather (extreme cold, extreme heat, rain) makes it uncomfortable to walk to/wait at transit stops"
114258120481,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"The closest light to cross 5 lanes of Main/Baseline is 5-9 blocks in either direction from my street, which makes it difficult to walk or take the bus.  (Your map shows a noninjury accident at what would be my bus stop....)"
114259332995,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),N/A
114259383939,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),El trasporte es muy bueno y puntúa
114259575109,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Solo lo necesito en ese tiempo.
114259934307,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Nothing
114260240370,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"Outside of work, i would love to take transit more often on weekends but its doesnt run as frequent"
114260315377,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Solo lo uso para ir a las citas que me quedan más lejos
114262935248,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"Homeless sleeping on max, unstable people making threats"
114263993789,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"The weather, COVID, unhoused riders causing social disturbances"
114264134661,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),The buses are often dirty/smell bad
114264334211,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"I mostly drive with my kid(s), carrying a lot of stuff, much more convenience driving our own car."
114264979129,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),"If I have to wait for a connection to a different MAX line or bus line that adds to my commute, and means I have to leave earlier to ensure I get where I'm going on time. Sometimes it's more efficient to drive so I don't spend as much time commuting."
114265201427,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Transit doesn't come often enough
114265320049,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),Bus 50 on Saltzman was removed. This completely messed up opportunities for my family.
114266502840,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),I have a car. Don’t need public transit as often.
114266973089,8,What gets in the way of you taking transit more often? (check all that apply),NA,Other (please specify),It's inefficient - I combine trips when driving but cannot efficiently do so using mass transit.
114242303665,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),base schedules on demand. quit wasting resources and money
114242367682,9,Which of the following improvements to transit would you like to see? (check all that apply),NA,Other (please specify),"trains run later. when trying to go somewhere in middle of the night, it rules out public transportation as an option. ex: my plane from mexico gets in at 11:57pm and an airport train isnt possible. The nearest max is about a mile from my home, the nearest bus station is 1/2 a mile. round trip I would have to walk at least a mile."
